"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"QUALITY CONTROL MANAGER - STRUCTURAL STEEL","$66,000 - $76,000 a year","Full-time","Day shift","Staley Steel LLC","Pilot Point, TX 76258","3.4","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFZ2qn_R-h0qm39XmrIyLFi9d0Zzpu6SwoxkNL0bXM0dHPoP6ua-La3zSjCwP-6kSJI1bqbkRGBxnaSP9A4npM53alYIsfdVhQfgunlGsNzF31BP3FNZ3lWbpsJ67Iw1g4FBrulVmf99UhNtF1Yz7OKqKgQgFKjovANX7IRjRV2dEDfIjcaUNzc11pq8wc7gD_iQksGghS1JJbW4Krb_R0uUETjfieZy8a1F9HRffMMr90aUeDcJxmF2UJPercOOVfD0rfR4hrtBLHmGZJnfgJKn31BValKn5neQFuaevPrj0SXqfk4WEX14CyRJ26wf9Skn9w-0arEmCoMqV8pCtsDZR8TitKkGE9sjYw8WCuX4dO9HIVJatGc6hwYXRq9oBrbpRgZLd7OWzFRlPdgGNP-MtHTW59shjwZCtXd04tabQOnmoWtvcxRvMDgFtUWQgMq5chspSyezhSLroqiI2SNNE8rGheCIXeMMv9GbKLgpl7zg52VNodZtIq-7Zq3LwGxYCX4GbUnLaC-XbUKU7v6YN68o53_BnJYgR45TxwyJxbaOq1q1w4CRU1CwPYGOk=&xkcb=SoD4-_M3QXvcwiQ8M50LbzkdCdPP&p=0&fvj=1&vjs=3","bc81821a5fe395d6","EmployerActive 3 days ago","2023-04-23T17:47:32.309Z"," 
 Seeking a Quality Control Manager with Structural Steel Experience to manage the day to day Quality Control program in our fabrication shop.
","www.indeed.com/applystart?jk=bc81821a5fe395d6"
"QUALITY ASSURANCE COORDINATOR","$20 an hour","Full-time","Monday to Friday +2","ResCare MN Community Living","Woodbury, MN 55125+3 locations","2.7","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkrFWYZN5gVJmGH0vAKqjs6L6GfOY1tmHxTHh6JrUlW6HAnWsSy3L_JL6ENHTjZfb38H5g86tLxj4vWjKSNejuYNSFPale9gDrGrHeIVsJV1iCxb6P5uDLK1vf7QbpCJLCsLJLb520GASYRKYq6s2RxzyXSmS_5DB6BWYEkIELOtprww_q0YmvvZ79jcwwdyrlvumFx7swDnnbxfsZzpZqaML5QLU4I5gaJ-PGDE-Qy9qZ-W537thSPdLXdsoDB7DmWk9W1T-jJ1SwAD-01lvKeUgfKvfB6kF6v97XyBEBpNvMBOmE918zg7gbyZNbiW8tku91wGNiP-yf2T_C4pXtmK5MYeMcFIklClo0uV_rA1jH9XK6gnR8n0mjvZRbmIPjATzkxIg2l3Bchc6pcf_Q9tcTF5NaxglNNfSnqnbaAtuwQTz_AyEw9MK8EFDvBnLFLBa36kB5JbINmxz4r7aGp30oSeA2d5w0ZfP4__rrRpB9FmIrXgi8LTnlFUJyyOUbTNISW3b9NIIoVZcQzpReB2YWLTeDUzzJiRUpr7MfEQ==&xkcb=SoBM-_M3QXvcwiQ8M50KbzkdCdPP&p=1&fvj=1&vjs=3","d81c34bf6e3b0cd6","PostedPosted 2 days ago","2023-04-23T17:47:32.310Z"," 
 Prefer experience in quality management.
 Excellent writing ability with a focus on quality.
 QIDP or Coordinator Certified per Minnesota Statutes and minimum of…
","www.indeed.com/applystart?jk=d81c34bf6e3b0cd6"
"Quality Control Inspector","$16 - $22 an hour","Full-time","4x10","TORIN Products","Columbus, NE 68601","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CNInEJ4DRQyyKjJBZyBj_ZA5V_t36w7qAkWlRDva--TCWYtViXqyOA3tYwj9y0xQfI5X0pcrwqLWX5hnJukeaB9sA0FKkG8V8DNd3vB67AhnnN_VaXGtDS42ULjIqXRgZwnNghdciY2PmrrP8j_19lwwx99IUCA-vxsBGvCyH-rPBttUhsdfxiWHs-OtPOIOU0FSpMrlhta0V0GxhFXHjvIMcKOU6xK8v0g49YLAu3VpEUQGR5lfsnr8la00Db0VkkwH6Il8dcG8bNi7EsDVoW6DROgMYK1fvO21V_TLXbjgfFNYmRGaeLi3BqP-UKvLbfeZMIhIyulx8zIvwKNYzXdZpMzPpV9LnJc7q2-n4aBJBGzk4zgmFv27mOPnk8JFxiwRwviInZTSqC1wUn4Ww-lprkimmi1LNHFHuTs1xX_kvfhPJlgKgEjIxXzokCjdaxiCLF990tAVaL_DOON_qZo5HiJbQ7URIpQeCVcChcJo-Pz8agvHX1TYjbNQVgS-amNK_79EBI7wSuIhZOVyk1yIPsnixAtfboqgDTUPo8Ag==&xkcb=SoDR-_M3QXvcwiQ8M50JbzkdCdPP&p=2&fvj=1&vjs=3","572f20bc30768e36","EmployerActive 6 days ago","2023-04-23T17:47:32.310Z"," 
 Recommends modifications of existing quality or production standards to achieve optimum quality within limits of equipment capability and customer or…
","www.indeed.com/applystart?jk=572f20bc30768e36"
"Quality Improvement Specialist","","Full-time","","Vista Autism Services","Hershey, PA 17033","3.7","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al1Jk6QQaoSA9p3nVehsbXIfTUnXOJjE9eGYZzdEDpglS9BQx7AEo5kSZxjrYAhXUCVWLirj514fNa6hihzrss9gbHYqZiFwrjpu-5CIBgeiJHOAUzfhqC6ODfLCqsUb5lu4zu0RLNBwsO4ezgNFse916qPw0oIpMG8Ih2zrlsBtJQ5qB7DTo8mJ1xQV71KMvAQfx2hDKQX0dnsEJev38TYFfEtuzjR0D0OrrNayRsXCCZ-SHerDS6igtNPHD7_SXjt2OmLIfYWSLVYp0OBnbXzfb75OcrtVhfKIS1cKE-JFhC57pDqpROhtMg0AOKKNKZ4qrjwvcVMZgPxz-7akdKWXOANvLm0NailC1Jhzvjv5M-rns3Va5ZoSN04HJErb-Uus5yUicBr_bidBQrXfu3vCI6KGcfyyOGTigaIzu_MsUuT8P7OpYZfwOxncyDNCiGbzOMEbiIiWD6QUpgQlAFaDkAZsJDtW4bcmmjXe1j07MtCoSd1kq7k9fliFm60p-iOrfo90BS0_XP9iuFRsJ89kEy50U0kt_EefNyu6WUD0QVS0osMz_s5yu3GsHEjvYLUOHPK0x5PUl18PcoQ3__4g0BhEhcH2yTB1Oossst-lDevB5eBHp22tm92g1TS-788_r5175FefAbKqUSUqvVo1thhiPFRTSvlPKRwYIqPU4HODBvQMRvplhV2SsPigDC-hM2VSugYeVAQpRenX2iXv8WFbJRn9rlOMF9CSz_uuCMnSMibew1G9Pf73yo3508FF-ThvFTlc8bmLoN0L7QMCq8GLBMD7M=&xkcb=SoBl-_M3QXvcwiQ8M50IbzkdCdPP&p=3&fvj=0&vjs=3","7f3805144598d0e8","PostedPosted 30+ days ago","2023-04-23T17:47:32.310Z"," 
 Enacts recurring quality assurance processes as selected by Vista’s Quality Program Description (progress indicators, incidents, customer satisfaction, etc.)…
","www.indeed.com/applystart?jk=7f3805144598d0e8"
"QA Associate","$18 - $23 an hour","","","Fanatics","Remote","3.7","https://www.indeed.com/rc/clk?jk=77554cbd65e68f95&fccid=a903d7d47c3986c6&vjs=3","77554cbd65e68f95","PostedPosted 3 days ago","2023-04-23T17:47:32.311Z"," 
 Maintain objectivity while providing fair, consistent, and equitable quality evaluations.
 Minimum of 1-2 years of customer service/contact center experience;…
","www.indeed.com/applystart?jk=77554cbd65e68f95"
"Quality Assurance Specialist 1","$35 - $50 an hour","","","CooperSurgical","+1 locationRemote","3.2","https://www.indeed.com/rc/clk?jk=1ab6c305b52ba538&fccid=3ef78064c61efff3&vjs=3","1ab6c305b52ba538","PostedPosted 1 day ago","2023-04-23T17:47:32.311Z"," 
 The Quality Assurance Specialist I is an entry level quality professional that is responsible for quality oversight of processes in Quality Management Systems,…
","www.indeed.com/applystart?jk=1ab6c305b52ba538"
"Quality Assurance Tester","","","","Steampunk","Remote in McLean, VA 22102+1 location","4.5","https://www.indeed.com/rc/clk?jk=ae3dea4d0eab6f2a&fccid=03c201acb21b642e&vjs=3","ae3dea4d0eab6f2a","PostedPosted 30+ days ago","2023-04-23T17:47:32.311Z"," 
 Strong and demonstrated knowledge of quality assurance methodologies, tools, and processes.
 Experience working in a complex engineering environment with prior…
","www.indeed.com/applystart?jk=ae3dea4d0eab6f2a"
"Quality Assurance Project Coordinator","","","","Washington Metropolitan Area Transit Authority","Washington, DC 20001 (Judiciary Square area)","3.7","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cvv68pjbPa1PHwRCTDblEsgpIqu8mdJOOUPZKf7xzDNq6cQvjSYfKUbJ5RAQdhWRe9XpOFLE0gmftdfTB9l9GRedyU4o_6a4uWVYwo4Qk52RjbN9M7IjvS_uUxPq4i5yo3RQ7C5z5xXzAY5dVQrTfQ6Rgi139hR9okGL5554-0skiEhhDUDYyUvhuzujJgs4uhc-Ycsz8Ejth0PzpVJld907EOGrErzKMYZKAjVbhsrXM0ANIt_QWkrzvVqBy4jZZ2HuBjErPYt6EWRjtllBLaLHUUJnNSETjhS3lej2pHvDumtTSQRdX2FdKrayRsPmGAo5TZnMnoKdFIYFofE5_le6euDseQK7eEilTLwh5QVwwCvsBKmVXgPoG5UtTPBrXSLiPuSaYTaA2lhpVUhYvdAPEz6WHY5JI1BMg03vPMJq8TCVd2Xh8a9nI_terYgNcbK021tMcvst2qFNLEtFyYwK94O2qA9c3p0KpCXWcEOiySUXizUPgyTw-tEjg-P2rd2bkuWCkNrdnpIskFjeuRBlf6WkIVQxX7wvuP7PZptIOHGSwUVBg1CD7T0OjjdAqgMq-CiDBalW3mFAe_yR_AqjlaEQKrA8MJrasmKgCMn3EHjblKgmqN0NdkrHkxAnk925frCAdGtsp6sikO-bE88AaXKuQIpUgIzcfiI_-3-FYUsQTXQ8gj&xkcb=SoB2-_M3QXvcwiQ8M50MbzkdCdPP&p=7&fvj=0&vjs=3","752a48541a9e89fa","PostedPosted 18 days ago","2023-04-23T17:47:32.312Z"," 
 The incumbent manages the triennial update and quality review process for agency-wide policies through end-to-end coordinated collaboration with internal…
","www.indeed.com/applystart?jk=752a48541a9e89fa"
"Quality Assurance Specialist","","Full-time","","CGT","New Braunfels, TX","3.1","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHlamGs6uDYRGreTs1gjn_QpXTiTsKiH1aoKsoPzvJlUBfGGdwBStMkL62bDU1ZxHl8YWYsqWUxda5m_3kirEypaHodrDIve1kuK7vYLhAKLs3YwZrp0ZbZ2UTQwNAFEOjORCUJP_yMeHwysNWtPG7Jt9GGExGHqB1jJl5fEimbYllUBcW0dUwLFsTXJTP-jhmPbXvd8DqN2VTF9WVMLEZSXREqlWtm1igAOixkGvo1yyAHRQlOYpLiCzb0GA6FynbRLLUzMyEiAfazN_G4iOGZyXZ2u6Ly9lLbV8j94G2mV5Y3xmiAG04eWY4jRRbufDbn51HuzxZbeMjpLh0Y5Yv5rRC7UrPpFdUUgC8djMKicoFg8tsm0yeA9iHQx9CTekbUfkjS3Rk1A4rHnSPd8Z35hrlx07m56xK0W-7ufBfZGjFjd9AtAEW7Kwa7Hfo2qCAb-Nqfita3md1YfbVM6QKtUHzR_70sLrSAQDhySHlHQb5e1W2tsz6sqTw4b0kBxBVuX9BgTR5wJtXvdTo7XBMUhrM7h8BAVVPJVY9KaUQCFc6UuUHKsQbJg0zCRDEmhZ6265FEXZwvHZem2bZNYlioV5Opf47gag=&xkcb=SoCf-_M3QXvcwiQ8M50DbzkdCdPP&p=8&fvj=0&vjs=3","43b7c712025f7963","EmployerActive 5 days ago","2023-04-23T17:47:32.312Z"," 
 Serve as a liaison for problem solving between the customer, manufacturing teams and suppliers to ensure quality throughout the supply chain.
","www.indeed.com/applystart?jk=43b7c712025f7963"
"Senior Quality Engineer","","Full-time","8 hour shift","All-Rite Spring Company","Spring Grove, IL 60081","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AE-fWIdl-kG9VcVxfZ6oC0EtzSa3PL06_IE5VMKeCYZQ94jEotwLuwZnxzFMnrhUhjg2TYW0oJn19j5W1aW248_3-svdYSA4ftL8f7rglAF9R5MMNx3o8szDVWoBt1sGfambEdjUfEtRRi8iPiG9TfX52Hy4opsIFBlzNOB1r8XQrInu4_oXqh5VNuNRVnRweird3zVIP2PvRm8EFlYprh0RZPCYACJS2vig29138Z6zlA26uirHdgDZBw4YJZ9IZ29QThlv5Zh9bHjkHoNUKgultvV8NF5Zjb4XoTxgMGoDUqe8nr-B3C1Q7PjHmA2Ozfln7sBByMmI3tzeuHkjLNMTTmDiK9M2R2qzvwL1db8u09tdBfyehlJAd9f0RoKv6evW_K-yCzjsrEVnmfIXC7WavuLHSAdoupmuG7eV8PCLqDONRNt2C_j9qRRdRGeI0qvgz5dAbGmt0QFvW8uqr-LtWj10WcZi6ccuwpg79SYbWXKBM_QyWE1QsxMXkEtYxouTrI5bR5yI7FH20cQaihKzQpiqaYNEyjD8MHEP1k_g==&xkcb=SoAr-_M3QXvcwiQ8M50CbzkdCdPP&p=9&fvj=1&vjs=3","78ed9bb36e616cc7","EmployerActive 2 days ago","2023-04-23T17:47:32.312Z"," 
 Act as a senior gatekeeper for customer quality & risk.
 Lead customer correspondence of escalated quality issues with professionalism and excellent verbal…
","www.indeed.com/applystart?jk=78ed9bb36e616cc7"
"Quality Control Specialist– Entry Level Position- Hybrid Position","","","","CACI","Hybrid remote in Alexandria, VA 22312+1 location","3.8","https://www.indeed.com/rc/clk?jk=5a2f3f7561ddd268&fccid=5fca42294cdbc080&vjs=3","5a2f3f7561ddd268","PostedPosted 10 days ago","2023-04-23T17:47:32.312Z"," 
 Quality Control Specialist– Entry Level Position- Hybrid Position.
 Minimum Clearance Required to Start: DOJ MBI.
 Percentage of Travel Required: Up to 10%.
","www.indeed.com/applystart?jk=5a2f3f7561ddd268"
"Medical Report Reviewer ~ Quality Assurance Analyst","$20 - $30 an hour","Full-time","Monday to Friday","Imedview, Inc","Remote","","https://www.indeed.com/rc/clk?jk=0ae228c5b28df643&fccid=0ac17bb8aff14136&vjs=3","0ae228c5b28df643","PostedPosted 30+ days ago","2023-04-23T17:47:32.313Z"," 
 We are a company that provides Liability and Worker's Compensation examinations with a focus on cultivating small-town connections while delivering big-city…
","www.indeed.com/applystart?jk=0ae228c5b28df643"
"DJS PROGRAM SPECIALIST (Quality Assurance Specialist)","$59,608 - $92,290 a year","Full-time","","State of Maryland","Remote in Prince George's County, MD","3.6","https://www.indeed.com/rc/clk?jk=f86ec3a922e44551&fccid=2d3a5aa715e90595&vjs=3","f86ec3a922e44551","PostedPosted 10 days ago","2023-04-23T17:47:32.313Z"," 
 Coordinate on-site implementation of quality assurance audits by subject matter experts and peer representatives focusing on compliance with policy, regulatory,…
","www.indeed.com/applystart?jk=f86ec3a922e44551"
