"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Short Description","External Apply Link"
"Quality Assurance/Testing & Evaluation","","Day shift","","SAIC","Washington, DC+2 locations","4.0","https://www.indeed.com/rc/clk?jk=48c1fc46520db23f&fccid=f3b836e645f9b36d&vjs=3","48c1fc46520db23f","PostedPosted 30+ days ago","2023-04-23T17:47:32.313Z"," 
 Travel: Yes, 10 % of the Time.
 Clearance Level Must Be Able to Obtain: Public Trust.
 Make a difference for the Department of Homeland Security (DHS) by joining…
","www.indeed.com/applystart?jk=48c1fc46520db23f"
"REMOTE Quality Assurance Analyst I, II, III","","Full-time","","National General Insurance","Remote in Winston-Salem, NC 27105","2.9","https://www.indeed.com/rc/clk?jk=20a1f8d0c8230094&fccid=3843a980e71859ea&vjs=3","20a1f8d0c8230094","PostedPosted 30+ days ago","2023-04-23T17:47:32.313Z"," 
 Assists in performing quality control procedures in the production environment.
 Verifies the accuracy of new states and products, rate revisions, projects, and…
","www.indeed.com/applystart?jk=20a1f8d0c8230094"
"REMOTE Quality Assurance Analyst I, II, III","","Full-time","","National General Insurance","Remote in Winston-Salem, NC 27105","2.9","https://www.indeed.com/rc/clk?jk=20a1f8d0c8230094&fccid=3843a980e71859ea&vjs=3","20a1f8d0c8230094","PostedPosted 30+ days ago","2023-04-23T17:47:39.150Z"," 
 Assists in performing quality control procedures in the production environment.
 Verifies the accuracy of new states and products, rate revisions, projects, and…
","www.indeed.com/applystart?jk=20a1f8d0c8230094"
"DJS PROGRAM SPECIALIST (Quality Assurance Specialist)","$59,608 - $92,290 a year","Full-time","","State of Maryland","Remote in Prince George's County, MD","3.6","https://www.indeed.com/rc/clk?jk=f86ec3a922e44551&fccid=2d3a5aa715e90595&vjs=3","f86ec3a922e44551","PostedPosted 10 days ago","2023-04-23T17:47:39.151Z"," 
 Coordinate on-site implementation of quality assurance audits by subject matter experts and peer representatives focusing on compliance with policy, regulatory,…
","www.indeed.com/applystart?jk=f86ec3a922e44551"
"Quality Control Lab Analyst","From $19 an hour","Full-time","Monday to Friday +2","Sovena USA","Rome, NY 13441","3.3","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_kFeE6LbHvw8LGR34gBztadgsS7BEji2e8R9yh_ovRSIBRrFQZ054KPTjDWwD-ZxyNxpuZYUSL7NB1ekqFochLNtqumF3v4WsWujgvSdFgaKxtX0vVhbHCBpFBCJcyG_9i5yNFkA_B-O8qErKYmR06zJrqP98iZC4_Yzhm1jPDTQ36pRzF3Kiu23egrgKyyN3sI-NZBS0mR2omDcTOmBVYlcYdEIg4zamCKXIlHUJNFyFGyioW7dZHaAW0ykFUCcc3VqK4Lo5r0-Q4Kc5-HkI6GtTg8tb2T3LSPJ_LEJJWjDTDJQVA3NmmxeIOb2trSh_gYHGA-snMi54E9l3ggJKXKA1mWGhoeFh8DCPMrQ9Pd7hpUFoSAOkyVDUqWp8xVAYj125AICJwZ73Ivg-2DvDQMHVEG6kpT4COmVzrAOFrKyV3tLkE1WS5OF8IE1g-N9-wBAHRowSW-byIVuGJaFL-bBAZqWafXfVfvyx9dkxABRMAJPA6O0VFJSaPS9jYvv_oejhDJrjs9iSQRZF_TwmjTchiuzdrhYNTChG3L3GYw==&xkcb=SoAd-_M3QXvcMI2aDx0JbzkdCdPP&p=2&fvj=1&vjs=3","df31409d81d4b203","EmployerActive 2 days ago","2023-04-23T17:47:39.151Z"," 
 Are you looking to be part of a growing company with such a commitment to quality?
 Sovena USA is one of the largest olive oil bottling companies in the world…
","www.indeed.com/applystart?jk=df31409d81d4b203"
"Quality Assurance/Testing & Evaluation","","Day shift","","SAIC","Washington, DC+2 locations","4.0","https://www.indeed.com/rc/clk?jk=48c1fc46520db23f&fccid=f3b836e645f9b36d&vjs=3","48c1fc46520db23f","PostedPosted 30+ days ago","2023-04-23T17:47:39.151Z"," 
 Date Posted: 2023-04-12.
 Travel: Yes, 10 % of the Time.
 Clearance Level Must Be Able to Obtain: Public Trust.
 Provide QA support and expertise to the PMOD.
","www.indeed.com/applystart?jk=48c1fc46520db23f"
"Senior Quality Assurance Specialist","$90,000 - $105,000 a year","Full-time","Monday to Friday +1","Advanced Bioscience Laboratories","Hybrid remote in Rockville, MD 20850","2.9","https://www.indeed.com/company/Advanced-Bioscience-Laboratories/jobs/Senior-Quality-Assurance-Engineer-7545ee65835abbf3?fccid=16320e80e0d73bda&vjs=3","7545ee65835abbf3","EmployerActive 2 days ago","2023-04-23T17:47:39.151Z"," 
 Reports quality deficiencies to Supervisors and Department Managers.
 Issue quality documents such as batch records, test methods, product labels and other…
","www.indeed.com/applystart?jk=7545ee65835abbf3"
"Aircraft Inspector","$28 - $35 an hour","Full-time","Monday to Friday","MD Helicopters, LLC.","Mesa, AZ 85215 (Northeast area)","2.6","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bgzgz_Xf8wW3GrO3UxLut0zzPZ3BB_bfTnrWUQw0E3Q8YtNh2yRrjWpypmrhodQkI4qIxVehuUYJR3D1woS_ydzCnEuYmvUfZr5l1g87eKDtoLs8jQ1quWGmaHTQiHm21nY7Mef1olauUlAJnySGjPEm2Kqo4LjG9x7JburKQ9i9NXLjEBTHYcLuDE282TnWA_l5ym4irCEGPTLqn8cX5-UuibQM6c5FfhCojBv31DmHTAFsfumWFsZCHGlo4o9NZ31glGBqHQ2A_cTxB9qGj6ta3B121og5yAgGajdtcenRORAVzUg8t8TVoEgl0rSBDHXqLA-tGczv0TR3NHJuK3MSo3VAYEXzI8Esd4VoLno3NhZ8us4CGLojhNwrHW_xd5OayOKr_zjOvHjp1LW4uyH5uFE8yRO9DnNQ9k-FmI8FCV7j9yFiwG154QUjqrzHBxLgPhGoKDh8_y39uVrqNd00NjLPpc7DGuHmHsQ8h4bWburArPGP0hKBrON9t5ckSAh_Xm7JaSa9PDREFX2sBm&xkcb=SoCT-_M3QXvcMI2aDx0ObzkdCdPP&p=5&fvj=1&vjs=3","d2f5c4968e8da80b","EmployerActive 6 days ago","2023-04-23T17:47:39.151Z"," 
 Monitors and verifies quality processes in support of statistical process or other control procedures.
 Provides other inspection and quality services to ensure…
","www.indeed.com/applystart?jk=d2f5c4968e8da80b"
"Software Quality Assurance Engineer - Entry Level","$60,000 - $65,000 a year","Full-time","","EAI Technologies","Vienna, VA 22182","","https://www.indeed.com/rc/clk?jk=11da8badc9a00df7&fccid=0cafa571bc271ae0&vjs=3","11da8badc9a00df7","PostedPosted 30+ days ago","2023-04-23T17:47:39.152Z"," 
 Assist in ensuring the quality of dynamic Enterprise Web and Mobile applications in Cyber Security, Supply Chain/Logistics, or Finance built by your teammates…
","www.indeed.com/applystart?jk=11da8badc9a00df7"
"Quality Assurance Analyst","","","","TikTok","Hybrid remote in Phoenix, AZ+2 locations","3.5","https://www.indeed.com/rc/clk?jk=e4a9287fc8ec65ac&fccid=caed318a9335aac0&vjs=3","e4a9287fc8ec65ac","PostedPosted 11 days ago","2023-04-23T17:47:39.152Z"," 
 1+ years of quality experience.
 Experienced in quality processes and procedures.
 Provide regular reports and analyses on quality initiatives.
","www.indeed.com/applystart?jk=e4a9287fc8ec65ac"
"Food Safety QA Assistant Manager","$60,000 - $70,000 a year","Full-time","Monday to Friday +1","Giusto's Specialty Foods, LLC","South San Francisco, CA 94080","2.5","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6atPIcTXf0WPNf97CW2E3zzHMnpNyBI0cvJt3IiVoiu83Xsv5YuxCIDmNsmL9fxJq0cdQlkDW49UfO-lw1uvmkbAvWcONW-P2l8uYD219AEft9R4QkWO1JCyY8UNtCzYTuq4wk4sT_p1xzK-xBb0JLTbuzXnPeCrtocIiZkkC4TM6lMQG2YQ2uLG44LN2-aj4ehaj5-X4GIo8qNMUh2boqXYRyBGBE0TNJGohpZt1vCgoGh56650v0Vl5hVgXqhwL_4QddjqlK8kA6lMj04qN6tqXOXLkTOA3Q1CY2QQyi-_7KXd49evoIAoCl6yCSH923z0SVNaaEPKz6aJN5Otz5US97plYC8WDtBELSP4r4K-Hwe4ptuntlI_Syn3q0UP0VY9arGEtr6PmaqY6PWCsmeEUlPuxxqcvi7oEw5KLaUcUKhbskZadQlNcPLkASf2_Cg1XCOHSXhNOB44F5Oj2NpqN8MBeYTEIP-xfC1I-omhK79Zu6u5Y1rBJRCeTOg4rcCUZa-woW5yB1PaHi9xb4WoiDE1H9KHAxYkHbtV65g==&xkcb=SoBT-_M3QXvcMI2aDx0DbzkdCdPP&p=8&fvj=1&vjs=3","edc7709f5913c3f2","EmployerActive 2 days ago","2023-04-23T17:47:39.152Z"," 
 The Quality Assurance Assistant Manager works closely with the QA Manager in championing quality assurance throughout the organization.
","www.indeed.com/applystart?jk=edc7709f5913c3f2"
"Quality Assurance Analyst","","","","Pulse Labs","Remote","","https://www.indeed.com/rc/clk?jk=5970826d7d2e194f&fccid=218a6b95501039b9&vjs=3","5970826d7d2e194f","PostedPosted 30+ days ago","2023-04-23T17:47:39.152Z"," 
 Pulse Labs offers naturalistic consumer usability and quality assurance services built on our proprietary product evaluation platform.
","www.indeed.com/applystart?jk=5970826d7d2e194f"
"Junior Quality Assurance Analyst","$45,000 - $50,000 a year","Full-time","8 hour shift","Advantage Communications Group, LLC","Remote","","https://www.indeed.com/company/Advantage-Communications-Group,-LLC/jobs/Junior-Quality-Assurance-Analyst-20007e92326d3ad8?fccid=398122386fbf37b0&vjs=3","20007e92326d3ad8","EmployerActive 2 days ago","2023-04-23T17:47:39.152Z"," 
 Review and analyze system specifications to ensure high quality and eliminate issues.
 Troubleshoot code using complex industry programs to detect low-quality…
","www.indeed.com/applystart?jk=20007e92326d3ad8"
"Education and Quality Assurance Officer","","Full-time","Monday to Friday","MEG Business Management","Remote","3.0","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cz3eFjbQv8ucvhNn8o2Cv8ErRO8GXRex8RSXkOI2urW1p2eT5O_I4AaEljEnBm6c3EtOkulZmbh-ZU3qibz8rS_pl3u066lFKMhIyCcnq-o5DBPtwcB9Mv15fbnX7_Tg4Ia0OmQT2jyF-L4C63PBZDGXT2X722ykG00oB4fnIiWtlcCfftyUm8Mh29j4yDWhRM0cPL-am6TTqEm7BHmzGXdDFid5O5fKzz7xYV77F3MYVmZm3WSjtXXnT2nH3vukvz-u2qyBxCUhwqDiRnBQwECvISwTnwR6KDcOziX2yx6d39ZvIBPnmdH6w3FkzXYXJ0U1PksDkDQPj3E56Ujm2sHpj_l3Sn1I3Ge1k_zQi264FoZWFpMJXXOfps6Mk3aOp4TiaXki31CJRaqCcVl7gXjCaTjc1rOJnZd1ATjWCocfuwbPXeGb1NbdN7_rO-kRFGNX-eUl_1akWtq3IU12HteGIqiIRRMWVqq5LnlJmAvr78EhJ6UH-xk0kuJG_SQYvA2b0aImCjIQdQnTtMlpQuO0iJuWA3h458bj4HgXqDpw==&xkcb=SoDO-_M3QXvcMI2aDx0AbzkdCdPP&p=11&fvj=1&vjs=3","3574a4c83e3add06","PostedPosted 3 days ago","2023-04-23T17:47:39.153Z"," 
 Quality assurance: 2 years (Required).
 Our Physical Therapy Business Solutions Company is seeking a dynamic team player to Manage our Education and Quality…
","www.indeed.com/applystart?jk=3574a4c83e3add06"
"Quality Assurance Analyst I","$62,262 - $76,098 a year","Full-time","","Western National Group & Umialik Insurance","Remote","3.4","https://www.indeed.com/rc/clk?jk=0062df4ceb907fb9&fccid=307f6f9a5937e783&vjs=3","0062df4ceb907fb9","PostedPosted 3 days ago","2023-04-23T17:47:39.153Z"," 
 Strong attention to detail and quality.
 Works with product and change control teams to ensure quality deliverables that provide customer value.
","www.indeed.com/applystart?jk=0062df4ceb907fb9"
"Quality Manager","$90,000 - $105,000 a year","Full-time","Monday to Friday","CorTalent","Chanhassen, MN 55317","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZpKqrIYDB1Lu-IKRA664_6TQrmkchcTlv2k6aLP9JC6WExAJ9Ox-4mTGhRhbl-9MMMzDgGvcCQ5ac9MT8Gy3sg3_wH1o_HWC1LtI-_j6vBRnLwf-v_b_XdpULesummhP-HjK4As4JxUBMVt92_Zhv9ywQsUSq2PXJ_kc9kQSwY2y5CRRKqSYXX5WVOkorN1dVImixgPcuqOsxyIBkmGLsd47nLu-lCauQZBC9OrEPmkKv7AaJhUNGfpwi1-1SzgBZZ1NbypVg5iUULq5bv-qdYHF7rTcGen9tZs8BugG5xdfL2aimN8oEz-jwbyOqrN-dKYLBNSr0tbRBiojyofEfFby-zz804w7gACX0oFRLmQP9zQ92H6r6qibTcjSStXBWAADh9pZXb-_RbPksawKDziIJ2fKjF0iw0IhZcZq-E8WQt8NPKw-kW2-y2CRzdW8TyfJXMGZAOrbe50Rd--B8LaVOdKsow_m5AF0u4LzNhfCAEptPC3RCGe8OlRIYOAhV1RM2jsrFIiMkbAjnd0BTdqb4lRIS6ho=&xkcb=SoD0-_M3QXvcMI2aDx0GbzkdCdPP&p=13&fvj=1&vjs=3","92d41faf90051d82","EmployerActive 13 days ago","2023-04-23T17:47:39.153Z"," 
 Lead plant internal quality inspections.
 The Quality Manager will perform in a leadership and hands on engineer capacity, responsible to lead company quality…
","www.indeed.com/applystart?jk=92d41faf90051d82"
"Quality Assurance Analyst","$87,000 - $120,000 a year","Monday to Friday +5","","Anheuser-Busch","Houston, TX 77029 (Pleasantville area)+4 locations","3.7","https://www.indeed.com/rc/clk?jk=b4753cd77e9b9abf&fccid=c4bc23324dcf8d3c&vjs=3","b4753cd77e9b9abf","PostedPosted 30+ days ago","2023-04-23T17:47:39.153Z"," 
 Coordinate quality analyses ensuring accurate results, timely completion, and proper responses and notification.
 Dreaming big is in our DNA.
","www.indeed.com/applystart?jk=b4753cd77e9b9abf"