Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Junior Software Developer,Software Developer ,"$66,000 - $106,000 a year",Full-time,,Peraton,Remote in United States+1 location,3.2,https://www.indeed.com/rc/clk?jk=58dfd947a8e5a006&fccid=7dc8be9efe945d3a&vjs=3,58dfd947a8e5a006,PostedPosted 3 days ago,2023-04-23T17:55:13.063Z," 
 Provide expertise and support in the development and enhancement of business software systems.
 Reviews and evaluates systems and software to adhere with…
",www.indeed.com/applystart?jk=58dfd947a8e5a006
Junior Software Developer,Software Developer ,"$86,000 - $96,000 a year",Full-time,Monday to Friday,KesarWeb,"Remote in Las Vegas, NV",,https://www.indeed.com/company/KesarWeb/jobs/Junior-Software-Engineer-2d9a2dd2f4aa728b?fccid=36a6953a97504177&vjs=3,2d9a2dd2f4aa728b,PostedPosted 2 days ago,2023-04-23T17:55:13.067Z," 
 Good working knowledge of email systems and Microsoft Office software.
 Your primary focus will be to learn the codebase, gather user data, and respond to…
",www.indeed.com/applystart?jk=2d9a2dd2f4aa728b
Vehicle Controls & Embedded Software Engineer,Software Developer ,"$120,000 - $140,000 a year",Full-time,,"ZEVx,Inc","Gilbert, AZ 85297",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A77QGzC3hEHMT0TC7YDek5s9G6DsF0qbWW_xOgpyNv-Rlw_AaA1yv0L3AfYVyDAFufEz-6rRCOuHu1VbLMHrxsVXPWqUKr2bzfd6FU511M_hw3m6vzYOX0kffFMZIfHYiXXBNTyNCF0xTp86Pq7OMoByHdnIOekDyk06W7LrPvKYL9AjvQ6PlOFUhegHQpNLhXZ90CYvFuIVYnWdePXbDjd_lLaQK3Ge1PUVFtW4BgR_ObJA54QYPFjPwJtjALNc-5GvDRjeuUgaWaYOhe4wcKT5QHJXyMdO8DkOYw3LrEOseVSSae6lSY6FKiNy8iLVL5gmbSXbO_KB1IucVXyhRL3rD_fGf_VG-ui6iCZyI96EEqN5XbO3lPAGdQJzEaRFkNynhjiLus6QEk6V-8M7BtOHYLmg78dtueafwjALkRbtsxZ88G0RJ9a3L41EJQ0eafs2-b7S8bYVMj3uwA8N_0UynF0kCQqpiFpSv5RA0uTLBhVv27vXLL7cIZcvyw_ko=&xkcb=SoAb-_M3QXgEjG2aAx0JbzkdCdPP&p=2&fvj=0&vjs=3,4e6c24f7b142aba8,PostedPosted 25 days ago,2023-04-23T17:55:13.068Z," 
 Devise immediate solutions to improve customer experience as a stop gap solution until software updates are performed.
",www.indeed.com/applystart?jk=4e6c24f7b142aba8
RPA Developer (UiPath ),Software Developer ,,Full-time,,B&A,"Ashburn, VA 20147",4.4,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cyh2lu2bPmSiNcDmf7pRjYbVIV3Phn25IILPBhqJl9az8nSdpXu6FrqTl_MSGkNJy_fnRPe6hW2OGYp_YwEACpS4q4aioEKF5j1ho8tImk11a5XBqt8T3m2dCOXoJ22lg__-jXVowgFPsLZ7gKv4Ei7x0IHw8e-bIltBKPyzZPzx23Br958KGbvU4jb57PDcXGhEqrPug6E5iUWomylvWReJk0BDQqHJjCRaOm7mU_vtbZwz7eo4nG2P_C95TAvA7fx7YgxNN-fKKB9UtEEzzO1_hKwj9Xe7VkfQQPvEZ0zBck02zA72rSVurG_regToyPi4-VqPJ2_yPvAzLeAHtRBGjvzsyflRv_Nj-_VN90lzBvhQoGtquQr5OnU9TF22QKpFUBL3SmO2Rt0GsJQO6szDPigRbZckx52KxY569br1CxjOheqVOZw9B7yFX3I4eXwxm7AWM4Au7f0EIN04BkIKOQcE_EFkJtQKGPchar1HjkYKXP8qXzg4Fh5fXstStBOZuFV56cNXuojgYI9iegkRGGUmwErqoUTFywvvn9ObgXRQO2wOxu-LbXsOXbonCfZPeai2X5Pwm2mZYvxgLLmMsXxD2XuTrLz_cTa92wo2kLSx5GL15xkehUDVgzM-E=&xkcb=SoCv-_M3QXgEjG2aAx0IbzkdCdPP&p=3&fvj=0&vjs=3,f1b3e6b3f318a046,PostedPosted 30+ days ago,2023-04-23T17:55:13.070Z," 
 *Knowledge or experience in VBA/SQL/HTML/JavaScript/automation software/workflow software/ RPA software (e.g. BluePrism, UiPath, Kapow, Automation anywhere, or…
",www.indeed.com/applystart?jk=f1b3e6b3f318a046
Senior Software Back-End Developer,Software Developer ,,Full-time,Monday to Friday,"Leading Reach, Inc.","Remote in Austin, TX",4.7,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7OevQy_gQSRgdZVCNDsF1_PfZGnaLgHXN1wBuXMgR15kLdKHNogir_DZF_4HbYdhYo39RHh5B9ZO0yxsrsJWwdI0c93LyU6eRsaPj6CmyHu3rL3S0h5WUmFZMAXd02EWpzJisBA6pleay7TsGGtNafy5Wf9UC1dteLYHYF61G6dH06rVhmwCRuSY0Fm51_6cN-7QunGe3FMjEgxMh90_O3rYfpPKVP12gNGJ-YYFbbLQodNbrRir67QIC5xfDOR1_jSwBNgrqCstxs-ITVEOyf7rYBcl7Tj0jpT6YiDnHugus7S-eDx2-bvKgAKDdcNDZ_Ss2kCqQmEw32l1YaqJqityoAz2Qytx6yTH6djHpUgBNFeGl8W7VNU3wu8ihFRvQzqss1_4_TuMsN_QFhYMRRiYogzuwovdTzJ1tVUb20F1l_MX6zJjoA8c5xe558sRqpTlmEJ11GIz_i7czoOJHzZD3R3dqzL4d4d2tuUnYsjnjs_0KUWXq&xkcb=SoAh-_M3QXgEjG2aAx0PbzkdCdPP&p=4&fvj=0&vjs=3,3d9f1b9c9e02f432,EmployerActive 2 days ago,2023-04-23T17:55:13.070Z,Minimum (5) years working as a PHP software developer or able to demonstrate an expert level of knowledge and aptitude.,www.indeed.com/applystart?jk=3d9f1b9c9e02f432
Automation - Field Service Engineer,Software Developer ,"$75,000 - $105,000 a year",Full-time,Monday to Friday +2,JT Automation Inc.,"East Granby, CT 06026",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxhW41-ceB2cimtfROFORvmhD80qO43iP85BvAwibNKsRyhRIFf7filQVhdf3UyGWyuSJAk5pFkwpDdCcu74pnBXgbYIeXaUYtcCqhFaCuKqiF9NLVsXSJZQOc7IfZraxHAfl2DTql500vtrMbZUfHOttSWkVQ32D_R4U7aWiRL6Rja_pZ_QODMpGPu9q9fnYAKECv5hXlyb5N01KHiXga_3A7NFafSTQXtehs-33xGGUx8XbuYn4HR4Cia_7HCqvsC-vuu8f_jzvpM81nNKgqQH07quRKMIrUMCASHnceVTfuhc-BoLdUf8wBRg4sZVEX3lynY1BC2JWE17xVq9WSVDC1I9BoSRZlFYGGoVCx04qI7PIyUINxi-VEGt-JWrRbRh2KxhxRBBeI3tgEzlw87mCmTszkfhR9OWfXWNULC8NKpPhZyii6Sldv18vazFtEymD1S3YuR6IzrcH3xkkwU_FP-ht3ReJSlqtj9FFDE7uiORxMrMCJylv9rtHYPRuigHk8AayTbJqcDYDnpjJOjfLbdrDw46biNqmB7Gk3Vf39vZV5i9d0&xkcb=SoCV-_M3QXgEjG2aAx0ObzkdCdPP&p=5&fvj=1&vjs=3,d9bb8c13a66374ad,EmployerActive 11 days ago,2023-04-23T17:55:13.071Z," 
 Work with electrical mechanical and software design engineers to help debug interactions between mechanical, electrical, and software systems.
",www.indeed.com/applystart?jk=d9bb8c13a66374ad
Sr. Software Engineer/Architect,Software Developer ,"$100,000 - $130,000 a year",Full-time,Choose your own hours,The DEI Group,"Columbia, MD 21045",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCOHz3HPM8ExbL_6kBdClgcEEhJsO-_HJqmTxDa63cw5_iKsSxR3mku6lb723ekR1229Z0YCjfcb2OoSBsbvb5Hnp6qpaSBKVaDjCTS5n4jZQK2dWqOos_rvINvcqJ4DvP_x-7ckroMF4oXVPKAVTM1useTPDXJIkc9N-tGlMIAnmbtXrHAM4D2d2pTfCQEwI_J6Jk3sgf9FAkP_q6dcfZDIKSV9IjqRNKsqKVnFGpV-cz500EAYplhdmtAOHc9JfBS8O6aeYfTdSHEf0Rs6eWOWSX3k-flZcfjNVc0vPX229iQ67osXtqR3JxidmPZQ7MiNj1rZNdj-021r7-EDVPxdxdzWrGPv3oLFh4XkmCPUhQHuWzFTV3GxE47NmWv_8eLCfN2780-WXpXf9-6pCnJ1YevXX_VicHwsmH4CLBwpdT0kFQWY02juuByEbsb1n5rXGEDe0vbt8mYstfGq2i2WFmj9HbIdr-K8afzCP5vFwv5uOQVgNe-y9FklLBXOIR4FV7fStmCZg1t2ryartMZIUGRAfmdm4=&xkcb=SoAI-_M3QXgEjG2aAx0NbzkdCdPP&p=6&fvj=1&vjs=3,ea2bf756466c7fb6,EmployerActive 2 days ago,2023-04-23T17:55:13.072Z," 
 Design and develop full stack software applications.
 Convert functional requirements into associated software design.
 Experience in MS SQL and Oracle DB.
",www.indeed.com/applystart?jk=ea2bf756466c7fb6
Software Developer,Software Developer ,,Full-time,,Q-Lab Corporation,"Westlake, OH 44145",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRjzzumYnY0tDEPKGdG0HVC0TO_QyOjkjpaAJY8rI6pzTi6CXq2GzC9_OicR0FqD8mDOBX0dyWBaMsOGRP8q-lyFuysMri6SFi_eQrfpiuR8z0ILgqTGcN2RZTddzfSEG4u471KDCWPJsz3bNHaSsyyXJiuZ_UvUV-jhR-3X2bX7k9Wg-lKa2F9meuzWcOoTane4FyAr7jUgxFIn7K99edI05Ym58jsFX7pMV8WRR-XWx48PKI8nWyqar6XmFoaDSFNb_YI9U9cfRUb4cI57L6Mi4I4ADK_9K9YZw573LIhmmcB1p9R_OU_OEteu7T2PBQkzogb_qC8RZV3ykyiFEDOb0KhY_Dh8zzlp0Y5rvAkEiM3yzYVzCXcHobVfeUs_kSrbZwej4Ebe6VQcd7zLOskYrHvx7UTb2UqA52K50jj31GRTYRYm9Yfxp2Bf2k26ZBviRu5CEPphqgwn4UKMZrtF2deHFqBe1xPX9ORXFUXw==&xkcb=SoC8-_M3QXgEjG2aAx0MbzkdCdPP&p=7&fvj=0&vjs=3,8d4f1c5f54d89b21,EmployerActive 2 days ago,2023-04-23T17:55:13.072Z,"A minimum of 2 years experience in a software development role.
 Produces software for Q-Lab’s web, database, and client server business applications.",www.indeed.com/applystart?jk=8d4f1c5f54d89b21
Developer,Software Developer ,,Full-time,,Wipro Limited,"Jacksonville, FL+23 locations",3.8,https://www.indeed.com/rc/clk?jk=7041e48d80ff2392&fccid=8d25321c1defe73f&vjs=3,7041e48d80ff2392,PostedPosted 30+ days ago,2023-04-23T17:55:13.073Z," 
 Perform coding and ensure optimal software/ moduledevelopment.
 Investigating problem areas followed by the software developmentlife cycle.
",www.indeed.com/applystart?jk=7041e48d80ff2392
Junior AI/ML Software Developer,Software Developer ,,Full-time,,Paradyme Management,"Remote in Washington, DC 20520",3.8,https://www.indeed.com/rc/clk?jk=fa547e21c1f66e62&fccid=400544ebdc9bf2b7&vjs=3,fa547e21c1f66e62,PostedPosted 30+ days ago,2023-04-23T17:55:13.074Z," 
 Collaborate with other developers, staff and leadership to design solutions that solve customer problems.
 Perform debugging, troubleshooting, modifications and…
",www.indeed.com/applystart?jk=fa547e21c1f66e62
Junior Software Developer,Software Developer ,"$75,000 - $85,000 a year",Full-time,Monday to Friday +2,Binary Logic IT LLC,"Sterling, VA 20166+1 location",,https://www.indeed.com/company/Binary-Logic-IT-LLC/jobs/Junior-Software-Engineer-c79c91038c59d36a?fccid=a13f2e1bd1a13a6c&vjs=3,c79c91038c59d36a,PostedPosted 3 days ago,2023-04-23T17:55:13.074Z,"You will be enrolled for this program; It will start from Basics of Java to Advance Java.
 You also need to complete your online Project of 140 Hrs.",www.indeed.com/applystart?jk=c79c91038c59d36a
Embedded Software Engineer,Software Developer ,"$100,000 - $150,000 a year",Full-time,8 hour shift,"SigmaSense, LLC","Austin, TX 78758 (North Austin area)",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLmp7eN89U-imdIS3k1HPy83nFSQVS0CyWSe3vCO57TwIlXkEWIh-pJhJKr5e0ECbg2AnsbYecK2l6IQRkcmJAo04wMd0HwXw9frAU8JSwJ1mjwcEN4QeCXiILN_wIA4Wr_ywZCGdozVPXXsoaJzqbyZBeGNAHJQuiHvWOxPzh1BlW6QAX7FPrTn-EuKCu4swZtgLtfovlosLbTJvHkB1WtNij_7t_GIUdUSVs26Q8p9L8_Yh8InKp2mVm5uM057znYAHc1ysFC6_z0-NmQjhe4UDQ4bZqZ1EiErHcqHLv3yAMrdIzRcNlKsB2PuzakFq4EliEgtwISnNyEMsdYeCGgolhddykNKvcCz3YqAmzEOAtdOAi312b3RNPj1DOQvRwnl4Z3gvyVJfX29CBeCBvZIXUNDhkkoCbhkxCYRONxWdWc3ScdQIUhBz3k6ao0inbBQjTSmsLYKEBEU4jzgl1Aag8s99u5qEpw7eBgvAAZisryHIqSisYsFyB_4tnmNDvkiYmMduugRwUefmTi6fQ6Wn2cII8q3N0Rt6jZU11pCFmQIJ5Lupt&xkcb=SoDI-_M3QXgEjG2aAx0AbzkdCdPP&p=11&fvj=1&vjs=3,4ce8c8f85737012d,EmployerActive 2 days ago,2023-04-23T17:55:13.074Z," 
 Proven working experience in software engineering.
 Support software QA and optimize I/O performance.
 Assess third-party and open-source software.
",www.indeed.com/applystart?jk=4ce8c8f85737012d
"Junior Application Developer, JavaScript",Software Developer ,"$65,111 - $91,156 a year",Full-time,,Abt Associates,"Rockville, MD 20852",3.6,https://www.indeed.com/rc/clk?jk=e7a69c467a87351a&fccid=a13c40c13c1aafa9&vjs=3,e7a69c467a87351a,PostedPosted 3 days ago,2023-04-23T17:55:13.075Z," 
 Experience using software development tools like Jira and Confluence.
 As a Junior Application Developer supporting our Digital Delivery Service (DDS) Division,…
",www.indeed.com/applystart?jk=e7a69c467a87351a
Jr. Software Developer,Software Developer ,,Full-time,,Appiphony,"Chicago, IL",,https://www.indeed.com/rc/clk?jk=ec7209fa68c5e735&fccid=861ed6bd472a38c9&vjs=3,ec7209fa68c5e735,PostedPosted 19 days ago,2023-04-23T17:55:13.075Z," 
 Previous work experience is preferred.
 Solid understanding of web technologies such as REST, HTTP, JSON.
 Usable knowledge of relational databases and ability to…
",www.indeed.com/applystart?jk=ec7209fa68c5e735
Trainee Software Developer,Software Developer ,"From $75,000 a year",Full-time,Monday to Friday +2,Binary Logic IT,"Sterling, VA 20166+1 location",,https://www.indeed.com/company/Binary-Logic-IT/jobs/Software-Engineer-5f4212d7b22cd46c?fccid=ac26ada312b207bc&vjs=3,5f4212d7b22cd46c,PostedPosted 1 day ago,2023-04-23T17:55:13.076Z,"Who has valid work authorization ( OPT, H4EAD, GCEAD, GC, US Citizen).
 Willing to put an extra effort to gain technical expertise in a short time.",www.indeed.com/applystart?jk=5f4212d7b22cd46c
